"Use only very secure questions and answers, or generate random answers and store them in a secure location and do not store them alongside your full account credentials.","Benutzen Sie nur sehr sichere Fragen und Antworten. Alternativ generieren Sie zufällige Antworten und bewahren diese an einem sicheren Ort auf. Speichern Sie diese auf keinem Fall bei den Zugangsdaten zu Ihrem Benutzerkonto."
"The Answer to the Question will never be stored or displayed in plain-text.","Die Antwort zu der Frage wird nie im Klartext angezeigt und verschlüsselt gespeichert."
"Please enter your answer","Bitte geben Sie Ihre Antwort ein."
"Question:","Frage:"
"Answer:","Antwort:"
"Answer","Antwort"
"Back to Login","Zurück zum Login"
"Submit Answer","Antwort absenden"
"Question","Frage"
"Generate random question/answer","Erstelle zufällige Frage/Antwort"
"Maximum length for the questions and answers is 100 symbols. At least one secret question is required.","Die maximale Länge für Fragen und Antworten beträgt jeweils 100 Zeichen. Mindestens eine Sicherheitsfrage wird benötigt."
"One Time Secret Question should be recorded somewhere for safe-keeping.","Einweg-Sicherheitsfragen sollten sicher aufbewahrt werden."
"Please enter Google Authenticator verification code","Bitte geben Sie Ihren Bestätigungscode (bspw. aus Google Authenticator App) ein."
"Code:","Einmalkennwort:"
"Verify Code","Einmalkennwort überprüfen"
"To configure a 2fa app, simply scan the QR code below and enter the code below.","Um die App für die Zwei-Faktor-Authentifizierung zu konfigurieren, scannen Sie folgenden QR-Code ein und geben Sie den Code ein, den Sie darauf erhalten."
"You have been logged out.","Sie wurden abgemeldet."
"Reset user authentication","Authentifizierung für Benutzer zurücksetzen"
"Submit Password","Passwort übermitteln"
"The password was successfully verified.","Das Passwort wurde erfolgreich überprüft."
"Customer not found","Der Kunde konnte nicht gefunden werden"
"Token resetted", "Token zurückgesetzt"
"Error while saving Customer: %s","Während des Speichern des Kunden ist ein Fehler aufgetreten: %s"
"Reset customer authentication","Authentifizierung wurde für Kunden zurückgesetzt"
"Access Denied. Please reauthenticate with your password.","Zugriff verweigert. Bitte Admin-Password neu eingeben."
"Settings","Einstellungen"
"Enable","Aktivieren"
"Configure","Konfigurieren"
"Verification code","Bestätigungscode"
"The Two-Factor authentication is an optional but highly recommended security feature that adds an extra layer of security to your customer account. Once enabled, you will be required to enter a six-digit security code in addition to your password whenever you sign in to your account.<br />If you want to use this functionality, please install Google Authenticator on your Smartphone or Tablet.","Die Zwei-Faktor Authentifizierung ist eine optionale, aber eine empfehlenswerte Sicherheitsfunktion, mit der Ihr Kundenkonto zusätzlich geschützt wird. Wenn Sie diese Option auswählen ist, zusätzlich zur Eingabe des Passwortes, jedes Mal die Eingabe eines sechsstelligen Sicherheitscodes erforderlich, wenn Sie sich in unserem Online-Shop anmelden.<br />Um die Funktion zu nutzen, installieren Sie Google Authenticator auf ihrem Smartphone oder Tablet."
